data_size, chunk_size, N, K, chosen_nodes
182.600006, 26.085715, 10, 7, 1 6 7 9 2 0 3 8 4 5 
50.700001, 7.242857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
135.300003, 19.328572, 10, 7, 1 6 7 9 2 0 3 8 4 5 
89.300003, 12.757143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
152.899994, 21.842856, 10, 7, 1 6 7 9 2 0 3 8 4 5 
153.899994, 21.985713, 10, 7, 1 6 7 9 2 0 3 8 4 5 
125.000000, 17.857143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
136.100006, 19.442858, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.300000, 0.328571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
148.100006, 21.157144, 10, 7, 1 6 7 9 2 0 3 8 4 5 
69.400002, 9.914286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
158.800003, 22.685715, 10, 7, 1 6 7 9 2 0 3 8 4 5 
183.399994, 26.199999, 10, 7, 1 6 7 9 2 0 3 8 4 5 
199.699997, 28.528571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
191.399994, 27.342856, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.100000, 0.300000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.400000, 0.342857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
245.600006, 35.085715, 10, 7, 1 6 7 9 2 0 3 8 4 5 
137.899994, 19.699999, 10, 7, 1 6 7 9 2 0 3 8 4 5 
127.500000, 18.214286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
124.900002, 17.842857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.300000, 0.328571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
184.899994, 26.414285, 10, 7, 1 6 7 9 2 0 3 8 4 5 
132.500000, 18.928571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
73.400002, 10.485715, 10, 7, 1 6 7 9 2 0 3 8 4 5 
64.300003, 9.185715, 10, 7, 1 6 7 9 2 0 3 8 4 5 
168.800003, 24.114286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
154.800003, 22.114286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
85.599998, 12.228571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
127.800003, 18.257143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
50.200001, 7.171429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
150.300003, 21.471429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
80.599998, 11.514285, 10, 7, 1 6 7 9 2 0 3 8 4 5 
169.100006, 24.157144, 10, 7, 1 6 7 9 2 0 3 8 4 5 
190.199997, 27.171428, 10, 7, 1 6 7 9 2 0 3 8 4 5 
149.899994, 21.414285, 10, 7, 1 6 7 9 2 0 3 8 4 5 
188.500000, 26.928571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.600000, 0.371429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.300000, 0.328571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.800000, 0.400000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
256.600006, 36.657144, 10, 7, 1 6 7 9 2 0 3 8 4 5 
147.199997, 21.028571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
134.500000, 19.214286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
214.500000, 30.642857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
189.600006, 27.085715, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.800000, 0.400000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
122.599998, 17.514285, 10, 7, 1 6 7 9 2 0 3 8 4 5 
138.199997, 19.742857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
74.300003, 10.614286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
66.099998, 9.442857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
164.000000, 23.428571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
50.799999, 7.257143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
133.000000, 19.000000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
89.000000, 12.714286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
172.300003, 24.614286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
151.300003, 21.614286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.800000, 0.400000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
156.699997, 22.385714, 10, 7, 1 6 7 9 2 0 3 8 4 5 
83.900002, 11.985715, 10, 7, 1 6 7 9 2 0 3 8 4 5 
174.000000, 24.857143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
185.199997, 26.457142, 10, 7, 1 6 7 9 2 0 3 8 4 5 
195.000000, 27.857143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.500000, 0.357143, 10, 7, 1 6 7 9 2 0 3 8 4 5 
139.899994, 19.985713, 10, 7, 1 6 7 9 2 0 3 8 4 5 
3.100000, 0.442857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
258.500000, 36.928571, 10, 7, 1 6 7 9 2 0 3 8 4 5 
153.100006, 21.871429, 10, 7, 1 6 7 9 2 0 3 8 4 5 
135.800003, 19.400000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
215.699997, 30.814285, 10, 7, 1 6 7 9 2 0 3 8 4 5 
189.800003, 27.114286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
2.900000, 0.414286, 10, 7, 1 6 7 9 2 0 3 8 4 5 
117.199997, 16.742857, 10, 7, 1 6 7 9 2 0 3 8 4 5 
74.800003, 10.685715, 10, 7, 1 6 7 9 2 0 3 8 4 5 
63.700001, 9.100000, 10, 7, 1 6 7 9 2 0 3 8 4 5 
