id,size,submit_time,time_spent
1160,1,21762,0
1161,1,21767,0
1162,1,21775,0
1163,1,21778,0
1164,1,21780,0
1165,1,21785,0
1166,1,21789,0
1167,1,21790,0
1168,1291.192753,21807,0
1169,1,21807,0
1170,1.551625,21843,0
1171,1,21851,0
1172,1,21855,0
1173,1.591258,21859,0
1174,1,21867,0
1175,1,21870,0
1176,1,21880,0
1177,1,21884,0
1178,1659.112975,21887,0
1179,1,21888,0
1180,1,21891,0
1181,1,21907,0
1182,1.610373,21949,0
1183,1.75775,21957,0
1184,1469.689945,21958,0
1185,1,21971,0
1186,1,21978,0
1187,1,21979,0
1188,1,21993,0
1189,1,21994,0
1190,1,22004,0
1191,1,22008,0
1192,1,22009,0
1193,1,22017,0
1194,1,22022,0
1195,1,22023,0
1196,1471.846595,22028,0
1197,1,22031,0
1198,1,22036,0
1199,1,22049,0
1200,1,22064,0
1201,1,22067,0
1202,1,22072,0
1203,1,22078,0
1204,1,22081,0
1205,1,22083,0
1206,1,22087,0
1207,1238.18019,22089,0
1208,1,22089,0
1209,1,22096,0
1210,14.642949,22097,0
1211,1,22102,0
1212,1,22113,0
1213,1,22122,0
1214,30.510238,22127,0
1215,254.476329,22129,0
1216,1.1735,22134,0
1217,1,22141,0
1218,1211.696905,22147,0
1219,1,22155,0
1220,1.016037,22157,0
1221,1,22179,0
1222,18314.663547,22180,0
1223,1,22183,0
1224,25291.020185,22185,0
1225,1,22186,0
1226,1,22195,0
1227,596.527403,22197,0
1228,1,22199,0
1229,1161.158485,22204,0
1230,1,22205,0
1231,10000.000719,22207,0
1232,1,22211,0
1233,1,22213,0
1234,1,22248,0
1235,1.093328,22252,0
1236,1,22263,0
1237,1255.859361,22270,0
1238,1,22274,0
1239,1,22276,0
1240,9445.483326,22279,0
1241,1,22281,0
1242,1,22287,0
1243,1,22292,0
1244,1,22297,0
1245,1,22303,0
1246,1,22323,0
1247,1.110257,22337,0
1248,1,22339,0
1249,1575.280625,22341,0
1250,31.282723,22344,0
1251,1,22355,0
1252,554.51768,22358,0
1253,1,22360,0
1254,1,22367,0
1255,1,22368,0
1256,1,22383,0
1257,1,22400,0
1258,1,22407,0
1259,1,22408,0
1260,1,22412,0
1261,1,22416,0
1262,1,22417,0
1263,1595.479598,22418,0
1264,1,22422,0
1265,1,22429,0
1266,1,22430,0
1267,1,22439,0
