ID, Size, Total Transfer Time, Transfer Time Parralelized, Chunking Time, N, K
2637, 95.3, 0.6220037201073276, 0.0962626262652603, 1.773331732668658, 10, 9
2638, 164.1, 1.071047329107759, 0.16575757574967362, 3.046440642772644, 10, 9
2639, 98.1, 0.6402787507130773, 0.09909090909429571, 1.8254338192528368, 10, 9
2640, 159.5, 1.0410240645740678, 0.16111111110922965, 2.961043769178773, 10, 9
2641, 132.8, 0.8667585941981901, 0.1341414141384038, 2.471127535135339, 10, 9
2642, 137.0, 0.8941711401026566, 0.13838383838195692, 2.5492806650116067, 10, 9
2643, 162.6, 1.061257134169633, 0.1642424242401665, 3.0185938361659472, 10, 9
2644, 128.0, 0.8354299703140924, 0.12929292929104783, 2.3818096724196036, 10, 9
2645, 165.4, 1.0795321647712246, 0.1670707070692019, 3.070574541831782, 10, 9
2646, 2.4, 0.015664311980682844, 0.002424242432144555, 0.047127934844857916, 10, 9
2647, 184.3, 1.2028886213151637, 0.18616161615672436, 3.421444305076163, 10, 9
2648, 177.6, 1.1591590837906054, 0.17939393938603726, 3.297061902232917, 10, 9
2649, 1.9, 0.012400913644618209, 0.0019191919233311307, 0.03730961508551252, 10, 9
2650, 93.5, 0.6102554861021182, 0.0944444444369186, 1.7398375341502572, 10, 9
2651, 192.1, 1.25379763515126, 0.19404040404002776, 3.566247699430987, 10, 9
2652, 126.8, 0.8275978143673031, 0.12808080808344213, 2.3594802067406695, 10, 9
2653, 1.7, 0.011095554288532657, 0.0017171717164191332, 0.033382287181774356, 10, 9
2654, 72.8, 0.47515079563591667, 0.07353535353798758, 1.3847623897508494, 10, 9
2655, 1.9, 0.012400913644618209, 0.0019191919233311307, 0.03730961508551252, 10, 9
2656, 164.4, 1.0730053681748424, 0.1660606060685082, 3.0520100040939844, 10, 9
2657, 80.4, 0.5247544501216063, 0.08121212121437896, 1.4960742004885634, 10, 9
2658, 76.5, 0.4992999432027975, 0.07727272727272727, 1.4235034370320288, 10, 9
2659, 171.7, 1.1206509835934484, 0.173434343426065, 3.1875311295799085, 10, 9
2660, 177.2, 1.1565483651655388, 0.1789898989891464, 3.2896360871377968, 10, 9
2661, 117.5, 0.7668986055930809, 0.11868686869063161, 2.186426847728933, 10, 9
2662, 134.4, 0.8772014688529928, 0.13575757575983352, 2.5009001560405837, 10, 9
2663, 132.7, 0.8661059145644603, 0.13404040404341439, 2.4692667463287608, 10, 9
2664, 100.8, 0.6579011016021501, 0.10181818181140856, 1.8756751170304375, 10, 9
2665, 80.8, 0.5273651687466729, 0.08161616161126982, 1.5035173557148747, 10, 9
2666, 94.8, 0.6187403217655842, 0.09575757575644687, 1.7640277886357687, 10, 9
2667, 109.7, 0.7159895917513056, 0.11080808080732822, 2.0412853208158634, 10, 9
