algorithm,id_file,arrival_time,created_at,start_time,waiting_time,processing_time,chunk_time,upload_time,original_size,n,m,resultant_size,chunk_size,overhead,nodes_used,actual_nodes_utilization
alg3_reduced_complexity,4,0,0,1717700000487067877,0,8319668938,2328.101477,3214.219955,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[500.0000047683716, 500.0000047683716, 500.0000047683716]"
alg3_reduced_complexity,5,0,0,1717700009366383089,0,11161613093,5940.237419,2824.401276,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[600.0000057220459, 600.0000057220459, 600.0000057220459]"
alg3_reduced_complexity,6,0,0,1717700021227311288,0,13217825571,5174.030415,3293.553451,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[700.0000066757202, 700.0000066757202, 700.0000066757202]"
alg3_reduced_complexity,7,0,0,1717700035075283090,0,8425761666,2268.690786,2830.314071,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[800.0000076293945, 800.0000076293945, 800.0000076293945]"
alg3_reduced_complexity,8,0,0,1717700044020033152,0,7194386848,2010.056847,3207.522462,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[900.0000085830688, 900.0000085830688, 900.0000085830688]"
alg3_reduced_complexity,9,0,0,1717700051633679651,0,6378893114,1949.95709,2301.963464,209715200,3,2,314572803,104857601,150.00000143051147,"[0, 1, 2]","[1000.0000095367432, 1000.0000095367432, 1000.0000095367432]"
alg4_reduced_complexity,0,0,0,1717700060266249439,0,10035420540,3852.484199,2851.632854,209715200,3,2,314572803,104857601,150.00000143051147,"[1, 2, 9]","[100.00000095367432, 100.00000095367432, 100.00000095367432]"
alg4_reduced_complexity,1,0,0,1717700070897691681,0,8477947900,2307.196868,2926.95492,209715200,3,2,314572803,104857601,150.00000143051147,"[1, 2, 9]","[200.00000190734863, 200.00000190734863, 200.00000190734863]"
alg4_reduced_complexity,2,0,0,1717700079777317972,0,9843786587,2183.752683,3227.589515,209715200,3,2,314572803,104857601,150.00000143051147,"[1, 2, 9]","[300.00000286102295, 300.00000286102295, 300.00000286102295]"
alg4_reduced_complexity,3,0,0,1717700090054481760,0,9697027234,1866.697788,3679.673624,209715200,3,2,314572803,104857601,150.00000143051147,"[1, 2, 9]","[400.00000381469727, 400.00000381469727, 400.00000381469727]"
